individual_id,situation_id,alt_id,chosen,price,quality,brand_known
0,0,0,1,0.5,0.0,1.0
0,0,1,0,1.5,0.0,1.0
0,0,2,0,1.0,-1.0,1.0
0,1,0,0,1.0,-1.0,1.0
0,1,1,1,1.5,1.0,1.0
0,1,2,0,1.0,1.0,1.0
0,2,0,0,1.0,-1.0,1.0
0,2,1,1,1.0,1.0,0.0
0,2,2,0,1.0,-1.0,1.0
0,3,0,1,0.5,1.0,1.0
0,3,1,0,2.0,-1.0,0.0
0,3,2,0,0.5,0.0,1.0
0,4,0,0,1.0,-1.0,1.0
0,4,1,0,1.5,-1.0,0.0
0,4,2,1,0.5,0.0,0.0
0,5,0,0,1.5,-1.0,0.0
0,5,1,1,1.5,0.0,1.0
0,5,2,0,1.5,-1.0,1.0
0,6,0,0,1.0,-1.0,0.0
0,6,1,0,0.5,1.0,1.0
0,6,2,1,2.0,1.0,0.0
0,7,0,1,1.0,1.0,1.0
0,7,1,0,2.0,-1.0,0.0
0,7,2,0,0.5,0.0,1.0
1,8,0,0,0.5,-1.0,0.0
1,8,1,0,2.0,-1.0,1.0
1,8,2,1,2.0,0.0,1.0
1,9,0,0,2.0,0.0,1.0
1,9,1,1,2.0,0.0,0.0
1,9,2,0,0.5,-1.0,0.0
1,10,0,0,2.0,1.0,0.0
1,10,1,1,1.5,1.0,0.0
1,10,2,0,0.5,-1.0,0.0
1,11,0,1,0.5,-1.0,1.0
1,11,1,0,2.0,0.0,0.0
1,11,2,0,1.0,0.0,0.0
1,12,0,0,2.0,1.0,0.0
1,12,1,0,0.5,0.0,0.0
1,12,2,1,1.0,-1.0,1.0
1,13,0,0,1.0,-1.0,0.0
1,13,1,0,1.0,-1.0,0.0
1,13,2,1,1.5,0.0,0.0
1,14,0,0,2.0,-1.0,1.0
1,14,1,0,2.0,1.0,0.0
1,14,2,1,1.5,1.0,0.0
1,15,0,1,0.5,-1.0,1.0
1,15,1,0,2.0,1.0,1.0
1,15,2,0,1.5,0.0,0.0
2,16,0,0,1.5,-1.0,0.0
2,16,1,1,1.5,0.0,1.0
2,16,2,0,2.0,0.0,0.0
2,17,0,0,2.0,-1.0,0.0
2,17,1,1,1.5,1.0,1.0
2,17,2,0,1.5,-1.0,1.0
2,18,0,0,1.5,-1.0,0.0
2,18,1,1,1.0,-1.0,1.0
2,18,2,0,1.0,-1.0,1.0
2,19,0,0,1.5,-1.0,1.0
2,19,1,1,0.5,0.0,1.0
2,19,2,0,1.0,0.0,0.0
2,20,0,0,1.5,-1.0,0.0
2,20,1,0,2.0,1.0,0.0
2,20,2,1,1.5,1.0,0.0
2,21,0,0,1.0,1.0,1.0
2,21,1,1,1.0,0.0,1.0
2,21,2,0,1.5,1.0,1.0
2,22,0,0,1.5,0.0,0.0
2,22,1,1,0.5,0.0,0.0
2,22,2,0,1.5,-1.0,0.0
2,23,0,0,1.0,1.0,1.0
2,23,1,0,1.5,-1.0,0.0
2,23,2,1,2.0,0.0,1.0
3,24,0,0,2.0,1.0,1.0
3,24,1,1,1.5,-1.0,0.0
3,24,2,0,1.0,0.0,1.0
3,25,0,0,1.0,-1.0,1.0
3,25,1,1,0.5,0.0,1.0
3,25,2,0,2.0,0.0,0.0
3,26,0,0,2.0,-1.0,0.0
3,26,1,0,2.0,1.0,0.0
3,26,2,1,1.0,0.0,1.0
3,27,0,1,1.0,0.0,1.0
3,27,1,0,2.0,1.0,0.0
3,27,2,0,1.5,-1.0,0.0
3,28,0,0,1.5,0.0,1.0
3,28,1,1,1.0,1.0,1.0
3,28,2,0,1.0,0.0,1.0
3,29,0,1,1.5,-1.0,1.0
3,29,1,0,2.0,-1.0,1.0
3,29,2,0,1.0,1.0,1.0
3,30,0,1,2.0,1.0,1.0
3,30,1,0,0.5,1.0,0.0
3,30,2,0,1.0,-1.0,0.0
3,31,0,0,2.0,1.0,0.0
3,31,1,1,2.0,0.0,1.0
3,31,2,0,2.0,1.0,0.0
4,32,0,1,1.0,1.0,1.0
4,32,1,0,2.0,-1.0,1.0
4,32,2,0,2.0,1.0,0.0
4,33,0,0,2.0,0.0,0.0
4,33,1,1,0.5,1.0,0.0
4,33,2,0,1.5,1.0,1.0
4,34,0,0,2.0,-1.0,0.0
4,34,1,0,2.0,1.0,0.0
4,34,2,1,0.5,-1.0,0.0
4,35,0,0,2.0,-1.0,0.0
4,35,1,1,0.5,-1.0,1.0
4,35,2,0,1.0,-1.0,1.0
4,36,0,0,1.5,1.0,0.0
4,36,1,1,1.0,-1.0,1.0
4,36,2,0,1.5,0.0,1.0
4,37,0,1,0.5,0.0,0.0
4,37,1,0,1.5,1.0,0.0
4,37,2,0,1.5,0.0,1.0
4,38,0,0,1.5,0.0,1.0
4,38,1,0,1.0,1.0,0.0
4,38,2,1,1.0,0.0,0.0
4,39,0,0,1.0,1.0,1.0
4,39,1,0,1.0,1.0,1.0
4,39,2,1,1.5,1.0,0.0
5,40,0,1,1.0,-1.0,0.0
5,40,1,0,1.0,-1.0,1.0
5,40,2,0,1.0,0.0,0.0
5,41,0,1,0.5,0.0,0.0
5,41,1,0,1.5,-1.0,1.0
5,41,2,0,2.0,0.0,0.0
5,42,0,1,1.0,-1.0,1.0
5,42,1,0,2.0,-1.0,1.0
5,42,2,0,1.5,1.0,0.0
5,43,0,0,0.5,-1.0,0.0
5,43,1,0,1.0,1.0,1.0
